<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
VOW3-TDG;D;17.09.2018;0:00:00;143.0800000;145.2600000;142.2400000;144.6400000;831572
VOW3-TDG;D;18.09.2018;0:00:00;146.0000000;150.2400000;145.4000000;147.9200000;1832995
VOW3-TDG;D;19.09.2018;0:00:00;148.9000000;151.9600000;148.2800000;151.2800000;992644
VOW3-TDG;D;20.09.2018;0:00:00;150.5000000;154.1000000;150.5000000;152.8200000;1078411
VOW3-TDG;D;21.09.2018;0:00:00;154.3200000;157.2000000;152.8000000;154.4000000;1921848
VOW3-TDG;D;24.09.2018;0:00:00;152.8000000;153.6200000;151.0600000;153.0200000;812168
VOW3-TDG;D;25.09.2018;0:00:00;152.6000000;155.0000000;149.0600000;150.3400000;1384319
VOW3-TDG;D;26.09.2018;0:00:00;150.2800000;151.5400000;146.2800000;151.3800000;1215304
VOW3-TDG;D;27.09.2018;0:00:00;150.3600000;155.6800000;149.6400000;153.7800000;1201847
VOW3-TDG;D;28.09.2018;0:00:00;153.0800000;153.4000000;149.8600000;151.7000000;1086542
VOW3-TDG;D;01.10.2018;0:00:00;152.0200000;154.4600000;150.5600000;152.5200000;723382
VOW3-TDG;D;02.10.2018;0:00:00;151.9200000;154.4600000;151.1000000;152.9200000;792225
VOW3-TDG;D;04.10.2018;0:00:00;151.8600000;154.2600000;150.8200000;152.1800000;960396
VOW3-TDG;D;05.10.2018;0:00:00;151.0000000;151.9400000;149.0200000;149.3200000;826572
VOW3-TDG;D;08.10.2018;0:00:00;148.0000000;148.1600000;146.5600000;146.7200000;529668
VOW3-TDG;D;09.10.2018;0:00:00;146.7200000;148.2000000;144.5400000;146.4600000;898299
VOW3-TDG;D;10.10.2018;0:00:00;146.1600000;146.2200000;142.8000000;143.4400000;1189524
VOW3-TDG;D;11.10.2018;0:00:00;139.5200000;142.8000000;138.0800000;140.6200000;1855899
VOW3-TDG;D;12.10.2018;0:00:00;142.0000000;143.4400000;140.1200000;140.3000000;970813
VOW3-TDG;D;15.10.2018;0:00:00;141.3000000;146.7200000;139.6600000;144.3200000;1236910
VOW3-TDG;D;16.10.2018;0:00:00;144.6600000;149.3200000;143.4800000;147.6800000;1785980
VOW3-TDG;D;17.10.2018;0:00:00;148.4800000;149.2400000;145.5200000;147.1800000;776031
VOW3-TDG;D;18.10.2018;0:00:00;147.1800000;149.3000000;145.4000000;145.7400000;870106
VOW3-TDG;D;19.10.2018;0:00:00;145.5400000;145.7400000;139.1600000;143.6600000;1712446
VOW3-TDG;D;22.10.2018;0:00:00;146.2000000;147.2200000;141.6800000;142.3000000;717548
VOW3-TDG;D;23.10.2018;0:00:00;139.9600000;140.7400000;138.5400000;139.4600000;1218277
VOW3-TDG;D;24.10.2018;0:00:00;140.2000000;141.0400000;133.0000000;133.0400000;1602990
VOW3-TDG;D;25.10.2018;0:00:00;132.2400000;137.8800000;131.4400000;137.1800000;1262884
VOW3-TDG;D;26.10.2018;0:00:00;135.5000000;136.2400000;133.9000000;136.0600000;963258
VOW3-TDG;D;29.10.2018;0:00:00;137.9800000;146.3400000;137.9200000;143.0000000;1790642
VOW3-TDG;D;30.10.2018;0:00:00;147.0000000;149.7400000;144.2400000;147.0800000;2238749
VOW3-TDG;D;31.10.2018;0:00:00;150.0000000;152.5800000;148.7800000;149.3000000;1565612
VOW3-TDG;D;01.11.2018;0:00:00;149.0000000;153.4200000;147.5400000;150.8200000;1406653
VOW3-TDG;D;02.11.2018;0:00:00;158.8000000;159.9800000;154.3800000;154.5800000;2433274
VOW3-TDG;D;05.11.2018;0:00:00;154.6000000;155.9200000;153.7200000;155.3600000;780930
VOW3-TDG;D;06.11.2018;0:00:00;156.1000000;157.4600000;154.9200000;156.0200000;974896
VOW3-TDG;D;07.11.2018;0:00:00;156.6400000;158.3800000;154.8000000;155.0200000;904064
VOW3-TDG;D;08.11.2018;0:00:00;156.1000000;156.2800000;151.0600000;151.3200000;894877
VOW3-TDG;D;09.11.2018;0:00:00;149.6600000;150.2000000;144.9000000;145.9000000;1605276
VOW3-TDG;D;12.11.2018;0:00:00;147.2000000;148.3600000;145.0400000;145.9000000;725933
VOW3-TDG;D;13.11.2018;0:00:00;146.0000000;148.6200000;145.2000000;148.2000000;847019
VOW3-TDG;D;14.11.2018;0:00:00;149.5800000;151.3600000;148.0600000;148.9600000;1237797
VOW3-TDG;D;15.11.2018;0:00:00;148.3000000;149.8000000;146.0000000;147.6200000;715487
VOW3-TDG;D;16.11.2018;0:00:00;149.2400000;150.1200000;142.6000000;143.9400000;1410455
VOW3-TDG;D;19.11.2018;0:00:00;144.0000000;148.5400000;143.1400000;146.5400000;1249808
VOW3-TDG;D;20.11.2018;0:00:00;145.9800000;148.1600000;144.2200000;145.8200000;1169321
VOW3-TDG;D;21.11.2018;0:00:00;147.4800000;151.9000000;147.2000000;151.8400000;1101987
VOW3-TDG;D;22.11.2018;0:00:00;152.2000000;152.3600000;150.4600000;151.7600000;610631
VOW3-TDG;D;23.11.2018;0:00:00;150.7600000;152.3400000;149.3800000;150.9800000;824413
VOW3-TDG;D;26.11.2018;0:00:00;152.0200000;154.3400000;151.9400000;154.1000000;669143
VOW3-TDG;D;27.11.2018;0:00:00;154.8200000;155.0000000;146.4600000;148.1400000;1244478
VOW3-TDG;D;28.11.2018;0:00:00;149.5000000;150.1000000;146.5400000;149.1800000;1002522
VOW3-TDG;D;29.11.2018;0:00:00;150.0000000;150.8400000;148.3600000;150.7000000;891753
VOW3-TDG;D;30.11.2018;0:00:00;150.4200000;150.6000000;148.2600000;149.1200000;989802
VOW3-TDG;D;03.12.2018;0:00:00;155.0000000;156.8600000;152.9000000;153.5800000;1377211
VOW3-TDG;D;04.12.2018;0:00:00;151.3800000;151.8000000;148.1200000;148.4600000;842388
VOW3-TDG;D;05.12.2018;0:00:00;147.8000000;151.6600000;146.1600000;147.4200000;855026
VOW3-TDG;D;06.12.2018;0:00:00;146.5000000;146.8600000;141.7000000;142.1400000;1414578
VOW3-TDG;D;07.12.2018;0:00:00;144.1000000;146.1600000;141.8200000;143.9800000;927489
VOW3-TDG;D;10.12.2018;0:00:00;142.7600000;143.5400000;139.9600000;140.5600000;709905
VOW3-TDG;D;11.12.2018;0:00:00;142.4000000;147.6800000;141.7600000;146.5800000;1112964
