<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
USDRUB;D;20220606;0;87.8399022;;;85.4237005;
USDRUB;D;20220607;0;84.5741720;;;84.4793441;
USDRUB;D;20220608;0;84.3361815;;;84.5266425;
USDRUB;D;20220609;0;83.8401058;;;81.7421446;
USDRUB;D;20220610;0;83.1630266;;;78.1803999;
USDRUB;D;20220612;0;81.7341862;;;81.9134993;
USDRUB;D;20220613;0;81.9111656;;;82.8223970;
USDRUB;D;20220614;0;82.1254647;;;84.7334030;
USDRUB;D;20220615;0;83.0315789;;;81.5395577;
USDRUB;D;20220616;0;81.2220354;;;83.1495660;
USDRUB;D;20220617;0;82.0405728;;;81.5178185;
USDRUB;D;20220619;0;80.8197431;;;80.5709024;
USDRUB;D;20220620;0;81.2926247;;;77.4993542;
USDRUB;D;20220621;0;79.9255166;;;76.3356036;
USDRUB;D;20220622;0;77.3088474;;;78.2075977;
USDRUB;D;20220623;0;76.9765522;;;78.9413520;
USDRUB;D;20220624;0;77.5126411;;;77.1556067;
USDRUB;D;20220626;0;75.8536234;;;76.8610847;
USDRUB;D;20220627;0;74.4516928;;;76.7230169;
USDRUB;D;20220628;0;76.7252341;;;76.7793246;
USDRUB;D;20220629;0;75.0365767;;;75.5729220;
USDRUB;D;20220630;0;75.5826633;;;78.4704603;
USDRUB;D;20220701;0;75.9410161;;;81.0949655;
USDRUB;D;20220703;0;79.2717264;;;79.1965767;
USDRUB;D;20220704;0;78.5367214;;;81.8622386;
USDRUB;D;20220705;0;80.0235770;;;90.8957091;
USDRUB;D;20220706;0;91.2610212;;;92.6062465;
USDRUB;D;20220707;0;93.1002448;;;92.1116126;
USDRUB;D;20220708;0;92.1097367;;;91.8903151;
USDRUB;D;20220710;0;93.6769860;;;94.8314705;
USDRUB;D;20220711;0;89.1226532;;;95.3830166;
USDRUB;D;20220712;0;91.9840363;;;86.6025765;
USDRUB;D;20220713;0;86.6022296;;;86.8277757;
USDRUB;D;20220714;0;86.8072907;;;86.2460036;
USDRUB;D;20220715;0;86.2507771;;;81.7535021;
USDRUB;D;20220717;0;81.7498895;;;81.4643025;
USDRUB;D;20220718;0;81.4714776;;;83.7200593;
USDRUB;D;20220719;0;82.7836278;;;81.8747825;
USDRUB;D;20220720;0;79.7667909;;;78.8082164;
USDRUB;D;20220721;0;80.0223717;;;83.8021006;
USDRUB;D;20220722;0;82.5281362;;;83.6582900;
USDRUB;D;20220724;0;82.5539568;;;84.1709649;
USDRUB;D;20220725;0;83.4142102;;;83.0959164;
USDRUB;D;20220726;0;81.3031528;;;86.4562156;
USDRUB;D;20220727;0;82.7898003;;;84.8752413;
USDRUB;D;20220728;0;84.8247659;;;88.2495855;
USDRUB;D;20220729;0;85.7498106;;;88.0584192;
USDRUB;D;20220731;0;87.9702475;;;88.2327623;
USDRUB;D;20220801;0;87.9217835;;;86.4904113;
USDRUB;D;20220802;0;87.7424040;;;86.1756168;
USDRUB;D;20220803;0;86.7536501;;;87.7413030;
USDRUB;D;20220804;0;87.2160074;;;88.8650047;
USDRUB;D;20220805;0;87.5409506;;;87.6301390;
USDRUB;D;20220807;0;87.5669417;;;87.6690281;
USDRUB;D;20220808;0;87.6766287;;;87.4663728;
USDRUB;D;20220809;0;86.1928338;;;86.9560653;
USDRUB;D;20220810;0;86.9548023;;;86.8481699;
USDRUB;D;20220811;0;85.2690738;;;85.3665681;
USDRUB;D;20220812;0;85.3327607;;;85.3110518;
USDRUB;D;20220814;0;85.3110518;;;86.4374359;
USDRUB;D;20220815;0;86.5049472;;;87.6011227;
USDRUB;D;20220816;0;85.4883522;;;87.5949854;
USDRUB;D;20220817;0;86.1884750;;;87.2543107;
USDRUB;D;20220818;0;85.4096634;;;86.7931818;
USDRUB;D;20220819;0;85.0094053;;;85.4918510;
USDRUB;D;20220821;0;85.4918510;;;86.5021522;
USDRUB;D;20220822;0;84.7075590;;;87.4130937;
USDRUB;D;20220823;0;86.5548173;;;85.9727199;
USDRUB;D;20220824;0;86.6964324;;;86.6128448;
USDRUB;D;20220825;0;86.6294478;;;86.4099986;
USDRUB;D;20220826;0;86.4013100;;;86.4296081;
USDRUB;D;20220828;0;86.4296081;;;87.8307549;
USDRUB;D;20220829;0;87.2266655;;;89.4007615;
USDRUB;D;20220830;0;87.2328720;;;87.4920121;
USDRUB;D;20220831;0;87.3551983;;;86.9632082;
USDRUB;D;20220901;0;88.1785960;;;87.5042310;
USDRUB;D;20220902;0;87.1951848;;;88.5079318;
USDRUB;D;20220904;0;88.4767920;;;88.8327760;
USDRUB;D;20220905;0;88.7262817;;;89.4830497;
USDRUB;D;20220906;0;88.8355430;;;91.0816958;
USDRUB;D;20220907;0;90.2996611;;;92.2467417;
USDRUB;D;20220908;0;91.4260115;;;90.8856792;
USDRUB;D;20220909;0;88.6983517;;;87.3976608;
USDRUB;D;20220911;0;87.6484386;;;87.7593864;
USDRUB;D;20220912;0;88.8161739;;;86.0645629;
USDRUB;D;20220913;0;87.1501734;;;91.5868024;
USDRUB;D;20220914;0;88.9479072;;;88.4304840;
USDRUB;D;20220915;0;88.4322611;;;89.1529454;
USDRUB;D;20220916;0;89.1667913;;;88.9401608;
USDRUB;D;20220919;0;89.4122024;;;89.3340472;
USDRUB;D;20220920;0;89.3153802;;;91.2240987;
