<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
CNYRUB;D;20220606;0;9.4975674;;;9.2255388;
CNYRUB;D;20220607;0;9.1344275;;;9.1488564;
CNYRUB;D;20220608;0;9.1338583;;;9.0894126;
CNYRUB;D;20220609;0;9.0157127;;;8.6686590;
CNYRUB;D;20220610;0;8.8223740;;;8.2176771;
CNYRUB;D;20220612;0;8.5717267;;;8.5717267;
CNYRUB;D;20220613;0;8.5354630;;;8.5118318;
CNYRUB;D;20220614;0;8.4343233;;;8.6585355;
CNYRUB;D;20220615;0;8.4983579;;;8.5226690;
CNYRUB;D;20220616;0;8.5210710;;;8.7326272;
CNYRUB;D;20220617;0;8.6155453;;;8.4127457;
CNYRUB;D;20220619;0;8.3382966;;;8.3382966;
CNYRUB;D;20220620;0;8.4127457;;;8.0717489;
CNYRUB;D;20220621;0;8.3246786;;;7.9433313;
CNYRUB;D;20220622;0;8.0442584;;;8.0570559;
CNYRUB;D;20220623;0;7.9303502;;;8.1343157;
CNYRUB;D;20220624;0;7.9928289;;;8.0145937;
CNYRUB;D;20220626;0;7.8725440;;;7.9780558;
CNYRUB;D;20220627;0;7.7304943;;;7.9352033;
CNYRUB;D;20220628;0;7.9373384;;;7.9021917;
CNYRUB;D;20220629;0;7.7255779;;;7.7580710;
CNYRUB;D;20220630;0;7.7543258;;;8.0806497;
CNYRUB;D;20220701;0;7.8193816;;;8.2462687;
CNYRUB;D;20220703;0;8.0596866;;;8.0504820;
CNYRUB;D;20220704;0;7.9850746;;;8.3955224;
CNYRUB;D;20220705;0;8.2122321;;;9.1900822;
CNYRUB;D;20220706;0;9.2272890;;;9.3633517;
CNYRUB;D;20220707;0;9.4090909;;;9.4124170;
CNYRUB;D;20220708;0;9.4127752;;;9.4107103;
CNYRUB;D;20220710;0;9.5824931;;;9.6946170;
CNYRUB;D;20220711;0;9.1096443;;;9.5635736;
CNYRUB;D;20220712;0;9.2056422;;;8.6873020;
CNYRUB;D;20220713;0;8.6888182;;;8.7021660;
CNYRUB;D;20220714;0;8.6993376;;;8.6268988;
CNYRUB;D;20220715;0;8.6319774;;;8.2143121;
CNYRUB;D;20220717;0;8.2143121;;;8.2143121;
CNYRUB;D;20220718;0;8.2143121;;;8.4555770;
CNYRUB;D;20220719;0;8.3545576;;;8.3722824;
CNYRUB;D;20220720;0;8.1638712;;;8.0322772;
CNYRUB;D;20220721;0;8.1451744;;;8.5736900;
CNYRUB;D;20220722;0;8.4462237;;;8.5814815;
CNYRUB;D;20220724;0;8.5000000;;;8.6048523;
CNYRUB;D;20220725;0;8.5278263;;;8.5556823;
CNYRUB;D;20220726;0;8.3704944;;;8.8806348;
CNYRUB;D;20220727;0;8.5039044;;;8.7845938;
CNYRUB;D;20220728;0;8.7793695;;;9.1528941;
CNYRUB;D;20220729;0;8.8935003;;;9.1201637;
CNYRUB;D;20220731;0;9.1201637;;;9.1201637;
CNYRUB;D;20220801;0;9.0882802;;;8.9768597;
CNYRUB;D;20220802;0;9.1061560;;;8.7962963;
CNYRUB;D;20220803;0;8.8436330;;;9.0076223;
CNYRUB;D;20220804;0;8.9628302;;;9.1633971;
CNYRUB;D;20220805;0;9.0279321;;;8.9539397;
CNYRUB;D;20220807;0;8.9487775;;;8.9510406;
CNYRUB;D;20220808;0;8.9520760;;;9.0548848;
CNYRUB;D;20220809;0;8.9230427;;;8.9544465;
CNYRUB;D;20220810;0;8.9554947;;;9.1480589;
CNYRUB;D;20220811;0;8.9714447;;;8.9878864;
CNYRUB;D;20220812;0;8.9845800;;;9.0100111;
CNYRUB;D;20220814;0;9.0100111;;;9.1211384;
CNYRUB;D;20220815;0;9.1202750;;;9.0799084;
CNYRUB;D;20220816;0;8.8384768;;;9.0579682;
CNYRUB;D;20220817;0;8.9134438;;;8.9184573;
CNYRUB;D;20220818;0;8.7386523;;;8.8390657;
CNYRUB;D;20220819;0;8.6581682;;;8.6189191;
CNYRUB;D;20220821;0;8.6189191;;;8.7268646;
CNYRUB;D;20220822;0;8.5347985;;;8.7790903;
CNYRUB;D;20220823;0;8.6942870;;;8.7069773;
CNYRUB;D;20220824;0;8.7682123;;;8.7211473;
CNYRUB;D;20220825;0;8.7354333;;;8.7839713;
CNYRUB;D;20220826;0;8.7861525;;;8.6662301;
CNYRUB;D;20220828;0;8.6662301;;;8.7742560;
CNYRUB;D;20220829;0;8.6825696;;;8.9405939;
CNYRUB;D;20220830;0;8.7242977;;;8.6808095;
CNYRUB;D;20220831;0;8.6662325;;;8.6188126;
CNYRUB;D;20220901;0;8.7191455;;;8.6087825;
CNYRUB;D;20220902;0;8.5807386;;;8.7346815;
CNYRUB;D;20220904;0;8.7316083;;;8.7390832;
CNYRUB;D;20220905;0;8.7305066;;;8.7897029;
CNYRUB;D;20220906;0;8.7259695;;;8.8108679;
CNYRUB;D;20220907;0;8.7369844;;;8.9411579;
CNYRUB;D;20220908;0;8.8762761;;;8.8378425;
CNYRUB;D;20220909;0;8.6379407;;;8.6337377;
CNYRUB;D;20220911;0;8.6344598;;;8.6758088;
CNYRUB;D;20220912;0;8.7810514;;;8.5673021;
CNYRUB;D;20220913;0;8.6869125;;;8.9154452;
CNYRUB;D;20220914;0;8.6031227;;;8.5768170;
CNYRUB;D;20220915;0;8.5774822;;;8.5230899;
CNYRUB;D;20220916;0;8.5249950;;;8.5602946;
CNYRUB;D;20220919;0;8.6082895;;;8.6061405;
CNYRUB;D;20220920;0;8.6052379;;;8.7672805;
CNYRUB;D;20220921;0;8.6581014;;;8.7735408;
CNYRUB;D;20220922;0;8.5549166;;;8.4973400;
CNYRUB;D;20220923;0;8.3570993;;;8.0347556;
CNYRUB;D;20220925;0;8.0612389;;;7.9280442;
CNYRUB;D;20220926;0;7.9923105;;;8.2135941;
CNYRUB;D;20220927;0;8.0932506;;;8.1541935;
CNYRUB;D;20220928;0;8.0686851;;;8.0732999;
CNYRUB;D;20220929;0;8.0058528;;;7.8830393;
CNYRUB;D;20220930;0;7.9504098;;;8.3118050;
CNYRUB;D;20221002;0;8.3345065;;;8.4661278;
CNYRUB;D;20221003;0;8.4416954;;;8.1549868;
CNYRUB;D;20221004;0;8.1556055;;;8.2964082;
CNYRUB;D;20221005;0;8.2960287;;;8.4331253;
CNYRUB;D;20221006;0;8.4803543;;;8.5385394;
CNYRUB;D;20221007;0;8.5077810;;;8.5666498;
CNYRUB;D;20221010;0;8.6012511;;;8.7158220;
CNYRUB;D;20221011;0;8.7759190;;;9.1963513;
