<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
JPYRUB;D;20220606;0;0.4838623;;;0.4643794;
JPYRUB;D;20220607;0;0.4598175;;;0.4592613;
JPYRUB;D;20220608;0;0.4585256;;;0.4517463;
JPYRUB;D;20220609;0;0.4480834;;;0.4316816;
JPYRUB;D;20220610;0;0.4391853;;;0.4100952;
JPYRUB;D;20220612;0;0.4281268;;;0.4265927;
JPYRUB;D;20220613;0;0.4266243;;;0.4282232;
JPYRUB;D;20220614;0;0.4246601;;;0.4313778;
JPYRUB;D;20220615;0;0.4227568;;;0.4268805;
JPYRUB;D;20220616;0;0.4252303;;;0.4420490;
JPYRUB;D;20220617;0;0.4361618;;;0.4186426;
JPYRUB;D;20220619;0;0.4151839;;;0.4139012;
JPYRUB;D;20220620;0;0.4176060;;;0.3997158;
JPYRUB;D;20220621;0;0.4122501;;;0.3897166;
JPYRUB;D;20220622;0;0.3946741;;;0.3970909;
JPYRUB;D;20220623;0;0.3908663;;;0.4041515;
JPYRUB;D;20220624;0;0.3968342;;;0.3965377;
JPYRUB;D;20220626;0;0.3892216;;;0.3951870;
JPYRUB;D;20220627;0;0.3828098;;;0.3920729;
JPYRUB;D;20220628;0;0.3920729;;;0.3895856;
JPYRUB;D;20220629;0;0.3807480;;;0.3804450;
JPYRUB;D;20220630;0;0.3804968;;;0.3985787;
JPYRUB;D;20220701;0;0.3856831;;;0.4087294;
JPYRUB;D;20220703;0;0.3994371;;;0.3996170;
JPYRUB;D;20220704;0;0.3962934;;;0.4140291;
JPYRUB;D;20220705;0;0.4047181;;;0.4555817;
JPYRUB;D;20220706;0;0.4574397;;;0.4619345;
JPYRUB;D;20220707;0;0.4643987;;;0.4640143;
JPYRUB;D;20220708;0;0.4640559;;;0.4629630;
JPYRUB;D;20220710;0;0.4715871;;;0.4762308;
JPYRUB;D;20220711;0;0.4475619;;;0.4676026;
JPYRUB;D;20220712;0;0.4511913;;;0.4272618;
JPYRUB;D;20220713;0;0.4272475;;;0.4247326;
JPYRUB;D;20220714;0;0.4246069;;;0.4192622;
JPYRUB;D;20220715;0;0.4192971;;;0.4008899;
JPYRUB;D;20220717;0;0.4005023;;;0.4013276;
JPYRUB;D;20220718;0;0.4013509;;;0.4123270;
JPYRUB;D;20220719;0;0.4077148;;;0.4085326;
JPYRUB;D;20220720;0;0.3980085;;;0.3919373;
JPYRUB;D;20220721;0;0.3979727;;;0.4231801;
JPYRUB;D;20220722;0;0.4167165;;;0.4257626;
JPYRUB;D;20220724;0;0.4217479;;;0.4261305;
JPYRUB;D;20220725;0;0.4223570;;;0.4233871;
JPYRUB;D;20220726;0;0.4142927;;;0.4384263;
JPYRUB;D;20220727;0;0.4198551;;;0.4360803;
JPYRUB;D;20220728;0;0.4358337;;;0.4594494;
JPYRUB;D;20220729;0;0.4464585;;;0.4617464;
JPYRUB;D;20220731;0;0.4616424;;;0.4611301;
JPYRUB;D;20220801;0;0.4595077;;;0.4623499;
JPYRUB;D;20220802;0;0.4689735;;;0.4452902;
JPYRUB;D;20220803;0;0.4483203;;;0.4544301;
JPYRUB;D;20220804;0;0.4517454;;;0.4663475;
JPYRUB;D;20220805;0;0.4594230;;;0.4485063;
JPYRUB;D;20220807;0;0.4484471;;;0.4480590;
JPYRUB;D;20220808;0;0.4481142;;;0.4533386;
JPYRUB;D;20220809;0;0.4467478;;;0.4472587;
JPYRUB;D;20220810;0;0.4472647;;;0.4630752;
JPYRUB;D;20220811;0;0.4546721;;;0.4557633;
JPYRUB;D;20220812;0;0.4555820;;;0.4551244;
JPYRUB;D;20220814;0;0.4552608;;;0.4613286;
JPYRUB;D;20220815;0;0.4616850;;;0.4618562;
JPYRUB;D;20220816;0;0.4506839;;;0.4579105;
JPYRUB;D;20220817;0;0.4505578;;;0.4480938;
JPYRUB;D;20220818;0;0.4386745;;;0.4416734;
JPYRUB;D;20220819;0;0.4326438;;;0.4290513;
JPYRUB;D;20220821;0;0.4293649;;;0.4341364;
JPYRUB;D;20220822;0;0.4251235;;;0.4370178;
JPYRUB;D;20220823;0;0.4327489;;;0.4351324;
JPYRUB;D;20220824;0;0.4387793;;;0.4362959;
JPYRUB;D;20220825;0;0.4363225;;;0.4404851;
JPYRUB;D;20220826;0;0.4404528;;;0.4322986;
JPYRUB;D;20220828;0;0.4325561;;;0.4363979;
JPYRUB;D;20220829;0;0.4333743;;;0.4453949;
JPYRUB;D;20220830;0;0.4345662;;;0.4321637;
JPYRUB;D;20220831;0;0.4315098;;;0.4261374;
JPYRUB;D;20220901;0;0.4321304;;;0.4244626;
JPYRUB;D;20220902;0;0.4229605;;;0.4299346;
JPYRUB;D;20220904;0;0.4297895;;;0.4290539;
JPYRUB;D;20220905;0;0.4285611;;;0.4340022;
JPYRUB;D;20220906;0;0.4308491;;;0.4280187;
JPYRUB;D;20220907;0;0.4243563;;;0.4322676;
JPYRUB;D;20220908;0;0.4284470;;;0.4273031;
JPYRUB;D;20220909;0;0.4170374;;;0.4193204;
JPYRUB;D;20220911;0;0.4193379;;;0.4213844;
