<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
USDCHF;D;20220606;000000;0.9622900;0.9718900;0.9599000;0.9713600;1103528
USDCHF;D;20220607;000000;0.9713500;0.9779200;0.9700000;0.9735700;1486620
USDCHF;D;20220608;000000;0.9735300;0.9790200;0.9726000;0.9788400;1413530
USDCHF;D;20220609;000000;0.9788400;0.9817500;0.9719000;0.9803600;1714603
USDCHF;D;20220610;000000;0.9803500;0.9898100;0.9760000;0.9872900;1704029
USDCHF;D;20220612;000000;0.9866000;0.9898000;0.9866000;0.9893000;66336
USDCHF;D;20220613;000000;0.9892100;0.9994400;0.9876000;0.9966400;1987899
USDCHF;D;20220614;000000;0.9966300;1.0037100;0.9870000;0.9994500;2371414
USDCHF;D;20220615;000000;0.9993800;1.0050000;0.9928000;0.9944900;3104648
USDCHF;D;20220616;000000;0.9944200;0.9989300;0.9627800;0.9668500;2788629
USDCHF;D;20220617;000000;0.9667500;0.9732700;0.9616000;0.9697000;2699953
USDCHF;D;20220619;000000;0.9692000;0.9714000;0.9680700;0.9697600;89747
USDCHF;D;20220620;000000;0.9697900;0.9704500;0.9619000;0.9674000;1958626
USDCHF;D;20220621;000000;0.9674500;0.9683800;0.9626000;0.9661300;1761080
USDCHF;D;20220622;000000;0.9661400;0.9689500;0.9578000;0.9615900;2289302
USDCHF;D;20220623;000000;0.9616400;0.9678500;0.9564000;0.9612800;2531336
USDCHF;D;20220624;000000;0.9612700;0.9632500;0.9516000;0.9570000;2187422
USDCHF;D;20220626;000000;0.9573000;0.9585000;0.9560000;0.9572100;80622
USDCHF;D;20220627;000000;0.9572900;0.9620300;0.9537000;0.9563000;1898970
USDCHF;D;20220628;000000;0.9563300;0.9586800;0.9531000;0.9567300;1606723
USDCHF;D;20220629;000000;0.9567700;0.9578100;0.9492000;0.9541700;2202375
USDCHF;D;20220630;000000;0.9541800;0.9605900;0.9527000;0.9550600;2293452
USDCHF;D;20220701;000000;0.9550000;0.9641700;0.9544000;0.9591800;1991663
USDCHF;D;20220703;000000;0.9588000;0.9614000;0.9582000;0.9585800;94176
USDCHF;D;20220704;000000;0.9585300;0.9618000;0.9559300;0.9609800;1516909
USDCHF;D;20220705;000000;0.9609600;0.9704700;0.9589000;0.9684400;2191450
USDCHF;D;20220706;000000;0.9684500;0.9743800;0.9666000;0.9702100;2664711
USDCHF;D;20220707;000000;0.9702500;0.9749000;0.9676000;0.9736800;2214135
