<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
USDCNY;D;20220606;000000;6.6596000;6.6596000;6.6354000;6.6534000;3314
USDCNY;D;20220607;000000;6.6534000;6.6780000;6.6534000;6.6675000;3362
USDCNY;D;20220608;000000;6.6675000;6.6950000;6.6622000;6.6825000;3214
USDCNY;D;20220609;000000;6.6825000;6.7002000;6.6610000;6.6922000;3426
USDCNY;D;20220610;000000;6.6899000;6.7157000;6.6780000;6.7081000;3502
USDCNY;D;20220612;000000;6.7081000;6.7088000;6.7081000;6.7081000;14
USDCNY;D;20220613;000000;6.7366000;6.7585000;6.7259000;6.7530000;3959
USDCNY;D;20220614;000000;6.7581000;6.7604000;6.7127000;6.7395000;3656
USDCNY;D;20220615;000000;6.7293000;6.7293000;6.7009000;6.7140000;4785
USDCNY;D;20220616;000000;6.6893000;6.7180000;6.6893000;6.7030000;4881
USDCNY;D;20220617;000000;6.7030000;6.7165000;6.6905000;6.7160000;4149
USDCNY;D;20220619;000000;6.7160000;6.7166000;6.7160000;6.7160000;23
USDCNY;D;20220620;000000;6.7160000;6.7160000;6.6694000;6.6900000;3486
USDCNY;D;20220621;000000;6.6900000;6.7001000;6.6731000;6.6880000;3287
USDCNY;D;20220622;000000;6.6880000;6.7260000;6.6880000;6.7022000;3628
USDCNY;D;20220623;000000;6.7021000;6.7145000;6.6947000;6.6984000;3502
USDCNY;D;20220624;000000;6.6935000;6.6990000;6.6816000;6.6878000;3237
USDCNY;D;20220626;000000;6.6878000;6.6897000;6.6878000;6.6897000;17
USDCNY;D;20220627;000000;6.6878000;6.6937000;6.6793000;6.6917000;2808
USDCNY;D;20220628;000000;6.6899000;6.7102000;6.6732000;6.7070000;2130
USDCNY;D;20220629;000000;6.7050000;6.7088000;6.6856000;6.6999000;2695
USDCNY;D;20220630;000000;6.7040000;6.7042000;6.6887000;6.6981000;3100
USDCNY;D;20220701;000000;6.6981000;6.7155000;6.6920000;6.7000000;3207
