<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
USDJPY;D;20220606;000000;130.7190000;132.3020000;130.4000000;132.1790000;1732808
USDJPY;D;20220607;000000;132.1720000;133.0010000;132.0600000;132.8220000;2306229
USDJPY;D;20220608;000000;132.8170000;134.5320000;132.7000000;134.4560000;2588161
USDJPY;D;20220609;000000;134.4560000;134.5600000;133.1600000;134.3870000;2746446
USDJPY;D;20220610;000000;134.3870000;134.4840000;133.3400000;134.4200000;2539546
USDJPY;D;20220612;000000;134.3060000;134.8520000;134.2680000;134.7890000;190064
USDJPY;D;20220613;000000;134.7790000;135.1980000;133.5600000;134.2300000;3076605
USDJPY;D;20220614;000000;134.2250000;135.6000000;133.8500000;135.2740000;3387191
USDJPY;D;20220615;000000;135.2740000;135.3050000;133.4800000;134.0450000;3734218
USDJPY;D;20220616;000000;134.0450000;134.6780000;131.4600000;132.4170000;3895472
USDJPY;D;20220617;000000;132.4050000;135.4250000;132.1500000;134.9600000;3872141
USDJPY;D;20220619;000000;134.8800000;135.3830000;134.8120000;135.2980000;228395
USDJPY;D;20220620;000000;135.2950000;135.4440000;134.5000000;135.0960000;2497097
USDJPY;D;20220621;000000;135.0930000;136.7130000;134.8900000;136.3170000;2550603
USDJPY;D;20220622;000000;136.3150000;136.6270000;135.6500000;135.9890000;3060731
USDJPY;D;20220623;000000;135.9800000;136.2000000;134.2400000;134.8180000;3463760
USDJPY;D;20220624;000000;134.8170000;135.4000000;134.3300000;135.1700000;2666991
USDJPY;D;20220626;000000;135.2700000;135.2700000;134.9800000;135.0520000;148726
USDJPY;D;20220627;000000;135.0540000;135.5530000;134.4900000;135.4340000;2790008
USDJPY;D;20220628;000000;135.4340000;136.3860000;135.0800000;136.0420000;2344259
USDJPY;D;20220629;000000;136.0480000;137.0040000;135.7560000;136.6250000;3366140
USDJPY;D;20220630;000000;136.6240000;136.8110000;135.5200000;135.7950000;3125495
USDJPY;D;20220701;000000;135.7980000;135.9870000;134.7200000;135.1750000;3185330
USDJPY;D;20220703;000000;135.1900000;135.3540000;134.9600000;135.0030000;190467
USDJPY;D;20220704;000000;135.0010000;135.9750000;134.7600000;135.8600000;2217866
USDJPY;D;20220705;000000;135.8600000;136.3640000;135.3900000;135.5410000;3185304
USDJPY;D;20220706;000000;135.5370000;136.1310000;134.9300000;135.9500000;3641421
USDJPY;D;20220707;000000;135.9500000;136.2220000;135.5200000;135.9180000;2637532
USDJPY;D;20220708;000000;135.9110000;136.5670000;135.3100000;136.0800000;3056371
USDJPY;D;20220710;000000;136.0300000;136.3570000;135.9000000;136.2940000;119835
USDJPY;D;20220711;000000;136.2940000;137.7540000;136.1800000;137.4030000;2675474
USDJPY;D;20220712;000000;137.4140000;137.5340000;136.4500000;136.7300000;2987509
USDJPY;D;20220713;000000;136.7320000;137.8670000;136.6600000;137.6320000;3262652
USDJPY;D;20220714;000000;137.6280000;139.3910000;137.5600000;138.9770000;3704419
USDJPY;D;20220715;000000;138.9690000;139.0880000;138.3600000;138.4420000;2571732
USDJPY;D;20220717;000000;138.5760000;138.5760000;138.2500000;138.2910000;111668
