<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RUBRUB;D;20220606;0;1.0000000;;;1.0000000;
RUBRUB;D;20220607;0;1.0000000;;;1.0000000;
RUBRUB;D;20220608;0;1.0000000;;;1.0000000;
RUBRUB;D;20220609;0;1.0000000;;;1.0000000;
RUBRUB;D;20220610;0;1.0000000;;;1.0000000;
RUBRUB;D;20220612;0;1.0000000;;;1.0000000;
RUBRUB;D;20220613;0;1.0000000;;;1.0000000;
RUBRUB;D;20220614;0;1.0000000;;;1.0000000;
RUBRUB;D;20220615;0;1.0000000;;;1.0000000;
RUBRUB;D;20220616;0;1.0000000;;;1.0000000;
RUBRUB;D;20220617;0;1.0000000;;;1.0000000;
RUBRUB;D;20220619;0;1.0000000;;;1.0000000;
RUBRUB;D;20220620;0;1.0000000;;;1.0000000;
RUBRUB;D;20220621;0;1.0000000;;;1.0000000;
RUBRUB;D;20220622;0;1.0000000;;;1.0000000;
RUBRUB;D;20220623;0;1.0000000;;;1.0000000;
RUBRUB;D;20220624;0;1.0000000;;;1.0000000;
RUBRUB;D;20220626;0;1.0000000;;;1.0000000;
RUBRUB;D;20220627;0;1.0000000;;;1.0000000;
RUBRUB;D;20220628;0;1.0000000;;;1.0000000;
RUBRUB;D;20220629;0;1.0000000;;;1.0000000;
RUBRUB;D;20220630;0;1.0000000;;;1.0000000;
RUBRUB;D;20220701;0;1.0000000;;;1.0000000;
RUBRUB;D;20220703;0;1.0000000;;;1.0000000;
RUBRUB;D;20220704;0;1.0000000;;;1.0000000;
RUBRUB;D;20220705;0;1.0000000;;;1.0000000;
RUBRUB;D;20220706;0;1.0000000;;;1.0000000;
RUBRUB;D;20220707;0;1.0000000;;;1.0000000;
RUBRUB;D;20220708;0;1.0000000;;;1.0000000;
RUBRUB;D;20220710;0;1.0000000;;;1.0000000;
RUBRUB;D;20220711;0;1.0000000;;;1.0000000;
RUBRUB;D;20220712;0;1.0000000;;;1.0000000;
RUBRUB;D;20220713;0;1.0000000;;;1.0000000;
RUBRUB;D;20220714;0;1.0000000;;;1.0000000;
RUBRUB;D;20220715;0;1.0000000;;;1.0000000;
RUBRUB;D;20220717;0;1.0000000;;;1.0000000;
RUBRUB;D;20220718;0;1.0000000;;;1.0000000;
RUBRUB;D;20220719;0;1.0000000;;;1.0000000;
RUBRUB;D;20220720;0;1.0000000;;;1.0000000;
RUBRUB;D;20220721;0;1.0000000;;;1.0000000;
RUBRUB;D;20220722;0;1.0000000;;;1.0000000;
RUBRUB;D;20220724;0;1.0000000;;;1.0000000;
RUBRUB;D;20220725;0;1.0000000;;;1.0000000;
RUBRUB;D;20220726;0;1.0000000;;;1.0000000;
RUBRUB;D;20220727;0;1.0000000;;;1.0000000;
RUBRUB;D;20220728;0;1.0000000;;;1.0000000;
RUBRUB;D;20220729;0;1.0000000;;;1.0000000;
RUBRUB;D;20220731;0;1.0000000;;;1.0000000;
RUBRUB;D;20220801;0;1.0000000;;;1.0000000;
RUBRUB;D;20220802;0;1.0000000;;;1.0000000;
RUBRUB;D;20220803;0;1.0000000;;;1.0000000;
RUBRUB;D;20220804;0;1.0000000;;;1.0000000;
RUBRUB;D;20220805;0;1.0000000;;;1.0000000;
RUBRUB;D;20220807;0;1.0000000;;;1.0000000;
RUBRUB;D;20220808;0;1.0000000;;;1.0000000;
RUBRUB;D;20220809;0;1.0000000;;;1.0000000;
RUBRUB;D;20220810;0;1.0000000;;;1.0000000;
RUBRUB;D;20220811;0;1.0000000;;;1.0000000;
RUBRUB;D;20220812;0;1.0000000;;;1.0000000;
RUBRUB;D;20220814;0;1.0000000;;;1.0000000;
RUBRUB;D;20220815;0;1.0000000;;;1.0000000;
RUBRUB;D;20220816;0;1.0000000;;;1.0000000;
RUBRUB;D;20220817;0;1.0000000;;;1.0000000;
RUBRUB;D;20220818;0;1.0000000;;;1.0000000;
RUBRUB;D;20220819;0;1.0000000;;;1.0000000;
RUBRUB;D;20220821;0;1.0000000;;;1.0000000;
