<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
USDNOK;D;20220606;000000;9.4309800;9.4584300;9.3658500;9.4280000;1613358
USDNOK;D;20220607;000000;9.4270000;9.5739600;9.4054000;9.4573000;1872069
USDNOK;D;20220608;000000;9.4573000;9.5155000;9.4178000;9.4703800;1896498
USDNOK;D;20220609;000000;9.4692900;9.6087700;9.4509800;9.5827500;2714090
USDNOK;D;20220610;000000;9.5826200;9.7101600;9.5440000;9.6953000;2281844
USDNOK;D;20220612;000000;9.7197000;9.7813600;9.6969800;9.7799000;79359
USDNOK;D;20220613;000000;9.7778700;9.9224000;9.7443800;9.9061000;2906562
USDNOK;D;20220614;000000;9.9068900;10.0586100;9.8355300;9.9925900;2779645
USDNOK;D;20220615;000000;9.9884000;10.0722000;9.9050000;9.9210000;3473397
USDNOK;D;20220616;000000;9.9216100;10.0935000;9.8995300;9.9560000;3400429
USDNOK;D;20220617;000000;9.9560000;10.0692400;9.9086200;9.9874800;2712834
USDNOK;D;20220619;000000;9.9886000;10.0006900;9.9659000;9.9858000;44488
USDNOK;D;20220620;000000;9.9858000;10.0130000;9.8583000;9.8865000;2373069
USDNOK;D;20220621;000000;9.8903400;9.8936200;9.7667400;9.8456900;2472506
USDNOK;D;20220622;000000;9.8434000;9.9987600;9.8380000;9.9233800;2906396
USDNOK;D;20220623;000000;9.9240800;10.0236900;9.8925800;9.9730000;3374525
USDNOK;D;20220624;000000;9.9727900;9.9834000;9.8366000;9.8444000;2532841
USDNOK;D;20220626;000000;9.8150000;9.8747700;9.7957300;9.8300000;82544
USDNOK;D;20220627;000000;9.8306300;9.8850000;9.7551000;9.7917000;2693250
USDNOK;D;20220628;000000;9.7908000;9.8429300;9.7246700;9.8169300;2753657
USDNOK;D;20220629;000000;9.8160000;9.9162800;9.7806500;9.8848000;3034865
USDNOK;D;20220630;000000;9.8848000;9.9642100;9.8270700;9.8387300;3371038
USDNOK;D;20220701;000000;9.8385800;10.0006000;9.8320500;9.9222000;2826364
USDNOK;D;20220703;000000;9.9045000;9.9349100;9.8899700;9.9097100;49485
USDNOK;D;20220704;000000;9.9100000;9.9553200;9.7966600;9.8125400;2865336
USDNOK;D;20220705;000000;9.8125400;10.1190500;9.7941000;10.0627300;3554642
USDNOK;D;20220706;000000;10.0604000;10.1703000;10.0121900;10.1225000;3762331
USDNOK;D;20220707;000000;10.1309000;10.1545500;10.0655000;10.0675000;2727863
USDNOK;D;20220708;000000;10.0708900;10.1847400;10.0338000;10.0716000;2962535
USDNOK;D;20220710;000000;10.0729000;10.1269800;10.0682700;10.1235000;74793
USDNOK;D;20220711;000000;10.1185000;10.2519300;10.0821300;10.1940500;3192466
USDNOK;D;20220712;000000;10.1916000;10.2685000;10.1807000;10.2611000;3306818
USDNOK;D;20220713;000000;10.2595400;10.2882900;10.1228700;10.2291000;3598763
USDNOK;D;20220714;000000;10.2246100;10.3543800;10.1868700;10.2201000;3671876
USDNOK;D;20220715;000000;10.2192000;10.2840500;10.1402600;10.1597000;2815315
USDNOK;D;20220717;000000;10.1600500;10.1836900;10.1470200;10.1554000;1864
USDNOK;D;20220718;000000;10.1551000;10.2003100;10.0227500;10.0837000;2336148
USDNOK;D;20220719;000000;10.0842700;10.1139000;9.8827500;9.8968300;2578799
USDNOK;D;20220720;000000;9.8959300;10.0061000;9.8659800;9.9674000;2233734
USDNOK;D;20220721;000000;9.9656100;10.0185800;9.8774400;9.9404700;2925625
USDNOK;D;20220722;000000;9.9412000;10.0357200;9.8735600;9.9262000;2448166
USDNOK;D;20220724;000000;9.8893000;9.9457700;9.8893000;9.9246500;1912
USDNOK;D;20220725;000000;9.9266300;9.9628000;9.8166100;9.8313000;2421688
USDNOK;D;20220726;000000;9.8297000;9.9158500;9.7789000;9.8858000;2365886
USDNOK;D;20220727;000000;9.8856400;9.8908000;9.7029000;9.7276000;2390058
USDNOK;D;20220728;000000;9.7276000;9.8178000;9.6766000;9.7307700;2874966
USDNOK;D;20220729;000000;9.7296000;9.7529900;9.6444300;9.6590500;2501010
USDNOK;D;20220731;000000;9.6462000;9.6889400;9.6345000;9.6830000;67702
USDNOK;D;20220801;000000;9.6827000;9.6890400;9.5801500;9.6337500;2599370
USDNOK;D;20220802;000000;9.6331400;9.7876400;9.6021000;9.7757000;2916896
USDNOK;D;20220803;000000;9.7758000;9.7930300;9.6736700;9.7160900;3023795
USDNOK;D;20220804;000000;9.7175300;9.7720200;9.6784000;9.7279000;2765010
USDNOK;D;20220805;000000;9.7278600;9.8738900;9.7197000;9.7847300;2255188
USDNOK;D;20220807;000000;9.8214000;9.8289000;9.8042300;9.8123200;18408
USDNOK;D;20220808;000000;9.8125600;9.8272000;9.6960700;9.7366000;2050434
USDNOK;D;20220809;000000;9.7304000;9.7523000;9.6851100;9.7293000;2125706
USDNOK;D;20220810;000000;9.7301000;9.7362000;9.4777500;9.5105000;2516289
USDNOK;D;20220811;000000;9.5102000;9.5462700;9.4560500;9.5196000;2702057
USDNOK;D;20220812;000000;9.5186000;9.5964000;9.4990000;9.5620500;2189246
USDNOK;D;20220814;000000;9.5620500;9.5932000;9.5511000;9.5927000;15989
USDNOK;D;20220815;000000;9.5928000;9.7168000;9.5525500;9.7059100;2409832
USDNOK;D;20220816;000000;9.7091600;9.7481700;9.6489600;9.6714000;2515089
USDNOK;D;20220817;000000;9.6662000;9.7496000;9.6370300;9.7038500;2669461
USDNOK;D;20220818;000000;9.7053000;9.7656600;9.6414500;9.7297000;2743298
USDNOK;D;20220819;000000;9.7284000;9.8219000;9.7218000;9.7970000;2119871
USDNOK;D;20220821;000000;9.8078000;9.8212500;9.7991600;9.8107000;34948
USDNOK;D;20220822;000000;9.8154100;9.8563800;9.7536200;9.8204000;2645596
USDNOK;D;20220823;000000;9.8203000;9.8851700;9.6755500;9.7090000;2753749
USDNOK;D;20220824;000000;9.7076000;9.7513900;9.6460100;9.6932000;3057057
USDNOK;D;20220825;000000;9.6932000;9.7265300;9.6002000;9.6588200;2935274
USDNOK;D;20220826;000000;9.6617600;9.7678200;9.5620000;9.7638000;2783653
USDNOK;D;20220828;000000;9.7271000;9.8094000;9.7136000;9.8042000;81272
USDNOK;D;20220829;000000;9.7955200;9.8416000;9.7152900;9.7311000;2972292
USDNOK;D;20220830;000000;9.7311000;9.8373000;9.6873500;9.8120200;3170007
USDNOK;D;20220831;000000;9.8122000;9.9734000;9.7375200;9.9518200;3362151
